address,lat,lng,,,
"28 Redondo St San Francisco, CA, 94124",37.718347,-122.392583,,,
"370 Stoneridge Ln San Francisco, CA, 94134",37.71023,-122.426265,,,
"8300 Oceanview Ter #205 San Francisco, CA, 94132",37.7098446,-122.4678576,,,
"678 Moscow St San Francisco, CA, 94112",37.7170422,-122.4310962,,,
"1891 48th Ave San Francisco, CA, 94122",37.7512098,-122.507653,,,
"104 Trumbull St San Francisco, CA, 94112",37.730553,-122.42815,,,
"Address not found San Francisco, CA",37.8081571,-122.415464,,,
"215 Red Rock Way #J204 San Francisco, CA, 94131",37.7456324,-122.4425825,,,
"875 La Playa St #383 San Francisco, CA, 94121",37.7716662,-122.5103364,,,
"874 Silver Ave San Francisco, CA, 94134",37.7287754,-122.4177948,,,
"227 Panorama Dr San Francisco, CA, 94131",37.749014,-122.452401,,,
"167 Vienna St San Francisco, CA, 94112-2107",37.7255619,-122.426221,,,
"519 Garfield St San Francisco, CA, 94132",37.719536,-122.4675741,,,
"2247 45th Ave San Francisco, CA, 94116",37.7446551,-122.5039959,,,
"1884 Bush St San Francisco, CA, 94109",37.7878096,-122.4283142,,,
"Address not found San Francisco, CA",37.8081571,-122.415464,,,
"619 Haight St San Francisco, CA, 94117-3304",37.771613,-122.432482,,,
"1215 Kirkham St San Francisco, CA, 94122",37.75972,-122.473904,,,
"50 Jerrold Ave #409 San Francisco, CA, 94124",37.7277605,-122.3695908,,,
"Address not found San Francisco, CA",37.8081571,-122.415464,,,
"1117 Alabama St #A San Francisco, CA, 94110",37.753741,-122.410786,,,
"20 Meadowbrook Dr San Francisco, CA, 94132",37.7338025,-122.4843943,,,
"887 47th Ave San Francisco, CA, 94121-3207",37.771768,-122.508035,,,
"817 Masonic Ave #817 San Francisco, CA, 94117",37.7736552,-122.4462855,,,
"1237 Chestnut St #5 San Francisco, CA, 94109-1048",37.8021057,-122.4240269,,,
"195 25th Ave #101 San Francisco, CA, 94121",37.7859942,-122.48533,,,
"192 Coleman St San Francisco, CA, 94124",37.7273661,-122.3688885,,,
"156 Guerrero St #101 San Francisco, CA, 94103",37.768724,-122.424851,,,
"111 Monterey Blvd San Francisco, CA, 94131",37.7314015,-122.4378595,,,
"710 17th Ave San Francisco, CA, 94121",37.774559,-122.475473,,,
"701 Minna St #14 San Francisco, CA, 94103",37.7767297,-122.4127364,,,
"2032 Ellis St San Francisco, CA, 94107",37.78166,-122.439744,,,
"88 King St #110 San Francisco, CA, 94107",37.7806904,-122.3892201,,,
"Address not found San Francisco, CA",37.8081571,-122.415464,,,
"10 Miller Pl #701 San Francisco, CA, 94108",37.7932132,-122.4089808,,,
"2040 Sutter St #301 San Francisco, CA, 94115",37.7861602,-122.4342124,,,
"401 Harrison St #7F San Francisco, CA, 94105",37.7863987,-122.3920534,,,
"1441 Jones St #304 San Francisco, CA, 94109",37.79459,-122.4151234,,,
"190 7th St #2 San Francisco, CA, 94103",37.7780056,-122.4098162,,,
"Address not found San Francisco, CA",37.8081571,-122.415464,,,
"110 Channel St #102 San Francisco, CA, 94158",37.7733155,-122.3930001,,,
"1000 3rd St #822 San Francisco, CA, 94158",37.7734359,-122.3898896,,,
"1141 Church St San Francisco, CA, 94114",37.7526159,-122.4272773,,,
"1000 3rd St #403 San Francisco, CA, 94158",37.7734359,-122.3898896,,,
"44 Valley St San Francisco, CA, 94110",37.744953,-122.423283,,,
"8-14 Cypress St San Francisco, CA, 94110",37.751961,-122.416893,,,
"584-586 Mississippi St San Francisco, CA, 94107",37.759006,-122.3944644,,,
"1545 Pine St #209 San Francisco, CA, 94109",37.7892442,-122.4212438,,,
"201 Folsom St #23E San Francisco, CA, 94105",37.7886997,-122.39226,,,
"219 Brannan St #16K San Francisco, CA, 94107",37.7830568,-122.3901601,,,
"955 Wisconsin St San Francisco, CA, 94107",37.7554966,-122.3985203,,,
"2121 Webster St #308 San Francisco, CA, 94115",37.7902213,-122.4329717,,,
"Address not found San Francisco, CA",37.8081571,-122.415464,,,
"1251 Revere Ave San Francisco, CA, 94124",37.7278643,-122.3838547,,,
"613 La Salle Ave #68 San Francisco, CA, 94124",37.7273614,-122.3729162,,,
"1622 Ingalls St San Francisco, CA, 94124",37.7289198,-122.3844079,,,
"1420 Webster St #2 San Francisco, CA, 94115-3457",37.783854,-122.4308216,,,
"1879 Palou Ave San Francisco, CA, 94124",37.7367818,-122.3962462,,,
"109 Miramar Ave San Francisco, CA, 94112",37.7202458,-122.4583543,,,
"4451 Mission St #301 San Francisco, CA, 94112",37.7268146,-122.4328508,,,
"75 Brighton Ave San Francisco, CA, 94122",37.7195905,-122.4553397,,,
"1941 48th Ave San Francisco, CA, 94116",37.7502094,-122.5075616,,,
"140 Ocean Ave San Francisco, CA, 94112",37.7236588,-122.4398122,,,
"215 Bradford St San Francisco, CA, 94110",37.739355,-122.409341,,,
"1523 41st Ave San Francisco, CA, 94122",37.7582949,-122.50073,,,
"2574 44th Ave San Francisco, CA, 94116",37.7386399,-122.50192,,,
"39 Brewster St San Francisco, CA, 94110",37.7458301,-122.4065028,,,
"144 Putnam St San Francisco, CA, 94110",37.737609,-122.411119,,,
"849 44th Ave San Francisco, CA, 94121",37.772563,-122.504944,,,
"476 Joost Ave San Francisco, CA, 94127",37.732572,-122.446099,,,
"1951 9th Ave San Francisco, CA, 94116",37.7518843,-122.4657047,,,
"2300 34th Ave San Francisco, CA, 94116",37.7440649,-122.4916903,,,
"29 Levant San Francisco, CA, 94114",37.7645806,-122.4421962,,,
"490 Joost Ave San Francisco, CA, 94127",37.732571,-122.446444,,,
"4045 Ocean Ave San Francisco, CA, 94132",37.7320204,-122.4877642,,,
"396 Guerrero St San Francisco, CA, 94103",37.7649803,-122.4243613,,,
"28 Winfield St San Francisco, CA, 94110",37.7449017,-122.4172875,,,
"Address not found San Francisco, CA",37.8081571,-122.415464,,,
"2172 Fell St San Francisco, CA, 94117",37.772267,-122.453582,,,
"2125 Bryant St #308 San Francisco, CA, 94110",37.7596546,-122.4095583,,,
"110 Montcalm St San Francisco, CA, 94110",37.7465396,-122.4070828,,,
"3583 Sacramento St San Francisco, CA, 94118",37.7874639,-122.451542,,,
"152 Fairmount St San Francisco, CA, 94131",37.7389943,-122.4266784,,,
"148 Lower Ter San Francisco, CA, 94114",37.763469,-122.442364,,,
"2241 Sacramento St #5 San Francisco, CA, 94115",37.790104,-122.429743,,,
"861 27th St San Francisco, CA, 94131",37.745977,-122.438844,,,
"225 Laguna St San Francisco, CA, 94102-5622",37.7732249,-122.42591,,,
"407 Missouri St San Francisco, CA, 94107",37.761126,-122.396075,,,
"221 Chenery St San Francisco, CA, 94131",37.7384579,-122.4258447,,,
"1450 Franklin St #1302 San Francisco, CA, 94109",37.7881078,-122.4233468,,,
"2230 Bush St San Francisco, CA, 94115",37.7870529,-122.4340451,,,
"1070 Green St #1501 San Francisco, CA, 94133",37.7987899,-122.416799,,,
"301 Main St #37B San Francisco, CA, 94105",37.789525,-122.3911753,,,
"131 Raymond Ave San Francisco, CA, 94134",37.7126692,-122.4060211,,,
"106-108 Sadowa St San Francisco, CA, 94112",37.7124054,-122.4565118,,,
"4 Richards Cir San Francisco, CA, 94124",37.7355892,-122.3862092,,,
"900 Girard St San Francisco, CA, 94134",37.7210167,-122.4021842,,,
"561 Hearst Ave San Francisco, CA, 94112",37.730434,-122.450293,,,
"801 Excelsior Ave San Francisco, CA, 94112",37.7232534,-122.426996,,,
"190 Mary Teresa St #2 San Francisco, CA, 94134",37.7137643,-122.3985505,,,
"Address not found San Francisco, CA",37.8081571,-122.415464,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"148 16th Ave San Francisco, CA, 94118",37.7853301,-122.4753095,,,
"12 Garnett Ter San Francisco, CA, 94124-2572",37.73308,-122.38209,,,
"451 Kansas St #328 San Francisco, CA, 94107",37.7638443,-122.4029888,,,
"3912-3914 Cesar Chavez St San Francisco, CA, 94131-2004",37.7478332,-122.4275802,,,
"55 Ora Way #308B San Francisco, CA, 94131",37.7413382,-122.4369862,,,
"888 7th St #207 San Francisco, CA, 94107",37.770553,-122.4004052,,,
"41 Kiska Rd San Francisco, CA, 94124",37.730213,-122.378984,,,
"2916 Arelious Walker Dr #6 San Francisco, CA, 94124",37.7173078,-122.3861771,,,
"855 Folsom St #342 San Francisco, CA, 94107",37.7807737,-122.4021633,,,
"270 Valencia St #401 San Francisco, CA, 94103",37.7685554,-122.4225153,,,
"126 Dolphin Ct San Francisco, CA, 94124",37.7282089,-122.371007,,,
"218 Grafton Ave San Francisco, CA, 94112",37.720255,-122.455537,,,
"1335 Laguna St #6 San Francisco, CA, 94115",37.7834886,-122.4278332,,,
"212 Howth St San Francisco, CA, 94112-2416",37.7206831,-122.4512892,,,
"1676 Wallace Ave San Francisco, CA, 94124",37.728465,-122.39232,,,
"205 Salinas Ave San Francisco, CA, 94124",37.7210309,-122.3985833,,,
"239 Arleta Ave San Francisco, CA, 94134",37.7139049,-122.407635,,,
"1151 Plymouth Ave San Francisco, CA, 94112",37.7229226,-122.4563504,,,
